id,clue,answer,month,year,day,created_at,updated_at
178494,96. Fusty,STALE,04,1979,,2019-04-09 12:18:18.319-04,2019-04-09 12:18:18.319-04
137029,68. White poplar,ABELE,07,1982,,2019-04-09 12:16:51.05-04,2019-04-09 12:16:51.05-04
147312,64. Motionless,STILL,03,1996,,2019-04-09 12:17:14.205-04,2019-04-09 12:17:14.205-04
121450,"45. ""_____ Luck"" (1973-74 sitcom)",LOTSA,05,1995,,2019-04-09 12:16:24.257-04,2019-04-09 12:16:24.257-04
124412,14. An Asian capital,HANOI,01,1989,,2019-04-09 12:16:28.926-04,2019-04-09 12:16:28.926-04
144454,24. Sap sucker,APHID,03,1994,,2019-04-09 12:17:03.832-04,2019-04-09 12:17:03.832-04
186403,145. Capital of Morocco,RABAT,03,1993,,2019-04-09 12:18:33.892-04,2019-04-09 12:18:33.892-04
91579,"18. Service's ""The Law of the ___""",YUKON,05,1990,,2019-04-09 12:15:31.535-04,2019-04-09 12:15:31.535-04
115930,27. Angry,IRATE,06,1985,,2019-04-09 12:16:14.288-04,2019-04-09 12:16:14.288-04
211784,73. Gage,GLOVE,08,1982,,2019-04-09 12:19:16.243-04,2019-04-09 12:19:16.243-04
52377,34. Across: Prefix,TRANS,02,1990,,2019-04-09 12:14:16.328-04,2019-04-09 12:14:16.328-04
102449,"7. Wrestling's ""Giant""",ANDRE,06,1995,,2019-04-09 12:15:50.99-04,2019-04-09 12:15:50.99-04
20176,15. Euripides tragedy,MEDEA,11,1996,,2019-04-09 12:13:18.147-04,2019-04-09 12:13:18.147-04
70255,27. Rundown,SEEDY,05,1982,,2019-04-09 12:14:54.601-04,2019-04-09 12:14:54.601-04
66473,48. Croupier,RAKER,04,1987,,2019-04-09 12:14:46.403-04,2019-04-09 12:14:46.403-04
63273,49. Astor's collection,PELTS,08,1985,,2019-04-09 12:14:39.209-04,2019-04-09 12:14:39.209-04
4956,1. Clown,CUTUP,06,1985,,2019-04-09 12:12:45.163-04,2019-04-09 12:12:45.163-04
115862,68. Doesn't go,STAYS,02,1981,,2019-04-09 12:16:14.176-04,2019-04-09 12:16:14.176-04
29176,22. Aviary inhabitants,BIRDS,09,1988,,2019-04-09 12:13:37.013-04,2019-04-09 12:13:37.013-04
32154,63. Small size of type,AGATE,08,1986,,2019-04-09 12:13:42.26-04,2019-04-09 12:13:42.26-04
200957,42. Cheech's comical partner,CHONG,05,1992,,2019-04-09 12:18:58.206-04,2019-04-09 12:18:58.206-04
123937,16. Fictional Doone,LORNA,12,1990,,2019-04-09 12:16:28.221-04,2019-04-09 12:16:28.221-04
9553,37. Do a double take,REACT,05,1991,,2019-04-09 12:12:56.733-04,2019-04-09 12:12:56.733-04
120439,43. Accumulate,AMASS,04,1983,,2019-04-09 12:16:22.455-04,2019-04-09 12:16:22.455-04
17220,15. Watered silk,MOIRE,06,1977,,2019-04-09 12:13:13.448-04,2019-04-09 12:13:13.448-04
198592,62. Broadway lights,NEONS,11,1984,,2019-04-09 12:18:54.138-04,2019-04-09 12:18:54.138-04
96431,38. Got along,FARED,09,1992,,2019-04-09 12:15:39.745-04,2019-04-09 12:15:39.745-04
48229,50. Sty sounds,OINKS,07,1994,,2019-04-09 12:14:09.726-04,2019-04-09 12:14:09.726-04
5435,15. Aggrandize,EXALT,05,1990,,2019-04-09 12:12:46.46-04,2019-04-09 12:12:46.46-04
78142,46. Feature of an atlas,INSET,06,1978,,2019-04-09 12:15:09.315-04,2019-04-09 12:15:09.315-04
64549,14. Loaded,LADEN,01,1980,,2019-04-09 12:14:41.991-04,2019-04-09 12:14:41.991-04
37946,62. Rock-bottom,NADIR,09,1976,,2019-04-09 12:13:51.638-04,2019-04-09 12:13:51.638-04
157871,33. Lanky,RANGY,02,1977,,2019-04-09 12:17:34.482-04,2019-04-09 12:17:34.482-04
44217,23. Plotters or plot,CABAL,05,1978,,2019-04-09 12:14:02.479-04,2019-04-09 12:14:02.479-04
45233,6. Dull,BLUNT,08,1992,,2019-04-09 12:14:04.467-04,2019-04-09 12:14:04.467-04
60081,28. Chokes; stifles,DAMPS,12,1990,,2019-04-09 12:14:31.864-04,2019-04-09 12:14:31.864-04
153872,"14. ""400"" members",ELITE,10,1986,,2019-04-09 12:17:26.819-04,2019-04-09 12:17:26.819-04
30580,23. Twilled fabric,SURAH,11,1990,,2019-04-09 12:13:39.115-04,2019-04-09 12:13:39.115-04
202847,59. Pelvis part,ILIUM,05,1995,,2019-04-09 12:19:01.345-04,2019-04-09 12:19:01.345-04
165251,26. Church governor,ELDER,11,1983,,2019-04-09 12:17:51.76-04,2019-04-09 12:17:51.76-04
5984,"21. ""The main's the gowd for _____"": Burns",ATHAT,10,1993,,2019-04-09 12:12:47.915-04,2019-04-09 12:12:47.915-04
31973,51. Orion's brightest star,RIGEL,01,1981,,2019-04-09 12:13:41.991-04,2019-04-09 12:13:41.991-04
156102,"45. "" . . . ___ and hungry look""",ALEAN,06,1981,,2019-04-09 12:17:31.421-04,2019-04-09 12:17:31.421-04
196475,54. N.F.C. team,BEARS,02,1977,,2019-04-09 12:18:50.781-04,2019-04-09 12:18:50.781-04
205672,56. Seine feeder,YONNE,03,1978,,2019-04-09 12:19:05.866-04,2019-04-09 12:19:05.866-04
98736,"14. Banquo, for one",THANE,09,1977,,2019-04-09 12:15:44.361-04,2019-04-09 12:15:44.361-04
31630,26. Electronic device,DORAN,06,1986,,2019-04-09 12:13:41.473-04,2019-04-09 12:13:41.473-04
188890,27. Landed,ACRED,12,1993,,2019-04-09 12:18:37.544-04,2019-04-09 12:18:37.544-04
156585,7. Slaves of yore,ESNES,12,1985,,2019-04-09 12:17:32.286-04,2019-04-09 12:17:32.286-04
140500,54. Settings,SITES,11,1989,,2019-04-09 12:16:56.664-04,2019-04-09 12:16:56.664-04
107393,26. Carried,BORNE,07,1976,,2019-04-09 12:15:58.811-04,2019-04-09 12:15:58.811-04
20374,37. Skirt style,ALINE,09,1982,,2019-04-09 12:13:18.471-04,2019-04-09 12:13:18.471-04
26748,"48. Toast, in Tours",SALUT,01,1979,,2019-04-09 12:13:31.077-04,2019-04-09 12:13:31.077-04
111868,51. Sassy,FRESH,06,1985,,2019-04-09 12:16:07.17-04,2019-04-09 12:16:07.17-04
117365,40. Urbane,CIVIL,04,1977,,2019-04-09 12:16:16.74-04,2019-04-09 12:16:16.74-04
64703,15. Me. town,ORONO,09,1986,,2019-04-09 12:14:42.296-04,2019-04-09 12:14:42.296-04
66735,51. Sarge's boss,LOOEY,07,1985,,2019-04-09 12:14:46.991-04,2019-04-09 12:14:46.991-04
174344,6. Step on,TROMP,03,1991,,2019-04-09 12:18:10.385-04,2019-04-09 12:18:10.385-04
198382,65. Moslem prayer leaders,IMAMS,06,1985,,2019-04-09 12:18:53.821-04,2019-04-09 12:18:53.821-04
28529,5. Passover feast,SEDER,08,1985,,2019-04-09 12:13:35.904-04,2019-04-09 12:13:35.904-04
120099,"55. Famed birthplace, circa 1446",GENOA,10,1977,,2019-04-09 12:16:21.867-04,2019-04-09 12:16:21.867-04
212537,108. Ten C-notes,GRAND,08,1979,,2019-04-09 12:19:17.603-04,2019-04-09 12:19:17.603-04
105014,45. Clean out,PURGE,06,1993,,2019-04-09 12:15:55.215-04,2019-04-09 12:15:55.215-04
133860,"20. Louis ___, memorable bandleader",PRIMA,05,1989,,2019-04-09 12:16:45.271-04,2019-04-09 12:16:45.271-04
214894,47. Rubbish,DROSS,02,1989,,2019-04-09 12:19:21.848-04,2019-04-09 12:19:21.848-04
128241,67. Evangelist's first name,AIMEE,12,1979,,2019-04-09 12:16:35.738-04,2019-04-09 12:16:35.738-04
9645,38. Call ___ (stop),AHALT,10,1989,,2019-04-09 12:12:56.908-04,2019-04-09 12:12:56.908-04
143389,70. Dress splendidly,ARRAY,07,1996,,2019-04-09 12:17:01.526-04,2019-04-09 12:17:01.526-04
17713,"43. Noodles, macaroni, etc.",PASTA,01,1989,,2019-04-09 12:13:14.278-04,2019-04-09 12:13:14.278-04
51901,28. 1980  DeLuise movie,FATSO,03,1994,,2019-04-09 12:14:15.582-04,2019-04-09 12:14:15.582-04
85804,26. Title of respect,MADAM,02,1976,,2019-04-09 12:15:21.898-04,2019-04-09 12:15:21.898-04
53720,43. Hat worn for sun protection,TERAI,02,1990,,2019-04-09 12:14:18.479-04,2019-04-09 12:14:18.479-04
107158,16. Gallic headgear,BERET,05,1991,,2019-04-09 12:15:58.484-04,2019-04-09 12:15:58.484-04
176217,36. Bristles,SETAE,06,1992,,2019-04-09 12:18:14.986-04,2019-04-09 12:18:14.986-04
88420,49. Stony debris,SCREE,11,1984,,2019-04-09 12:15:26.179-04,2019-04-09 12:15:26.179-04
201981,62. Wind: Comb. form,ANEMO,11,1982,,2019-04-09 12:18:59.943-04,2019-04-09 12:18:59.943-04
122565,28. Boy Scout group,TROOP,06,1996,,2019-04-09 12:16:26.056-04,2019-04-09 12:16:26.056-04
64631,"18. Arctic, e.g.",OCEAN,11,1990,,2019-04-09 12:14:42.158-04,2019-04-09 12:14:42.158-04
50309,63. Latin American dance music,SALSA,05,1991,,2019-04-09 12:14:13.136-04,2019-04-09 12:14:13.136-04
153205,"15. Under, in poesy",NEATH,12,1990,,2019-04-09 12:17:25.567-04,2019-04-09 12:17:25.567-04
37468,5. Plagiarize,STEAL,02,1983,,2019-04-09 12:13:50.904-04,2019-04-09 12:13:50.904-04
2576,15. Milk: Prefix,LACTO,05,1976,,2019-04-09 12:12:37.434-04,2019-04-09 12:12:37.434-04
49442,"49. T.R.'s ""blue"" girl",ALICE,02,1988,,2019-04-09 12:14:11.762-04,2019-04-09 12:14:11.762-04
108526,48. Pimlico performer,HORSE,03,1979,,2019-04-09 12:16:00.82-04,2019-04-09 12:16:00.82-04
99669,30. Man of the world,ATLAS,11,1995,,2019-04-09 12:15:46.027-04,2019-04-09 12:15:46.027-04
124703,26. Islamic devil,EBLIS,09,1990,,2019-04-09 12:16:29.39-04,2019-04-09 12:16:29.39-04
22777,6. Tee off,STEAM,09,1994,,2019-04-09 12:13:23.719-04,2019-04-09 12:13:23.719-04
63162,51. Come in,ENTER,06,1984,,2019-04-09 12:14:38.908-04,2019-04-09 12:14:38.908-04
214993,66. Damage,SPOIL,02,1978,,2019-04-09 12:19:22.048-04,2019-04-09 12:19:22.048-04
199958,70. Court figures,SUERS,07,1979,,2019-04-09 12:18:56.412-04,2019-04-09 12:18:56.412-04
109822,37. Comaneci or Boulanger,NADIA,08,1981,,2019-04-09 12:16:03.439-04,2019-04-09 12:16:03.439-04
156725,29. Coach,TRAIN,11,1980,,2019-04-09 12:17:32.691-04,2019-04-09 12:17:32.691-04
75530,33. Ooze out slowly,EXUDE,04,1980,,2019-04-09 12:15:04.762-04,2019-04-09 12:15:04.762-04
145573,49. Leaf orifice,STOMA,11,1976,,2019-04-09 12:17:08.575-04,2019-04-09 12:17:08.575-04
116595,31. Procreated,BEGAT,09,1982,,2019-04-09 12:16:15.525-04,2019-04-09 12:16:15.525-04
108299,8. Heroic poems,EPICS,04,1990,,2019-04-09 12:16:00.284-04,2019-04-09 12:16:00.284-04
216638,"52. ""The ___ of Greece . . . "": Byron",ISLES,11,1985,,2019-04-09 12:19:25.349-04,2019-04-09 12:19:25.349-04
163238,23. Coaxes,URGES,07,1994,,2019-04-09 12:17:48.037-04,2019-04-09 12:17:48.037-04
144037,1. Former Turkish coin,ASPER,12,1990,,2019-04-09 12:17:02.652-04,2019-04-09 12:17:02.652-04
214388,6. Short golf shots,CHIPS,08,1979,,2019-04-09 12:19:20.968-04,2019-04-09 12:19:20.968-04
90343,41. Jaeger's weapon,RIFLE,10,1977,,2019-04-09 12:15:29.346-04,2019-04-09 12:15:29.346-04
222219,122. Concerning,ANENT,06,1990,,2019-04-09 12:19:34.818-04,2019-04-09 12:19:34.818-04
69377,"65. Olympic bronze, e.g.",MEDAL,08,1981,,2019-04-09 12:14:52.767-04,2019-04-09 12:14:52.767-04
38263,45. One of a noted nine,ERATO,05,1992,,2019-04-09 12:13:52.227-04,2019-04-09 12:13:52.227-04
17838,"66. Sluggo's friend, in comics",NANCY,03,1981,,2019-04-09 12:13:14.502-04,2019-04-09 12:13:14.502-04
23405,39. Sights along the Tigris,RUINS,08,1983,,2019-04-09 12:13:24.683-04,2019-04-09 12:13:24.683-04
22780,16. Buckwheat mush,KASHA,03,1981,,2019-04-09 12:13:23.723-04,2019-04-09 12:13:23.723-04
139248,65. Chimp's cousin,ORANG,11,1977,,2019-04-09 12:16:54.565-04,2019-04-09 12:16:54.565-04
57989,26. The man with the hod,MASON,11,1989,,2019-04-09 12:14:26.715-04,2019-04-09 12:14:26.715-04
111977,31. Top-notch,PRIMO,03,1996,,2019-04-09 12:16:07.338-04,2019-04-09 12:16:07.338-04
115005,65. Valiant mate,ALETA,12,1994,,2019-04-09 12:16:12.616-04,2019-04-09 12:16:12.616-04
144208,"30. With 37-Across, the ground",TERRA,06,1994,,2019-04-09 12:17:03.292-04,2019-04-09 12:17:03.292-04
177863,56. Nominator,NAMER,04,1993,,2019-04-09 12:18:17.44-04,2019-04-09 12:18:17.44-04
90050,52. Pop singer Leo,SAYER,03,1997,,2019-04-09 12:15:28.912-04,2019-04-09 12:15:28.912-04
88205,15. Marketplace,AGORA,05,1979,,2019-04-09 12:15:25.847-04,2019-04-09 12:15:25.847-04
103012,11. Travels fast,POSTS,09,1984,,2019-04-09 12:15:51.994-04,2019-04-09 12:15:51.994-04
191507,10. 60's tripper Timothy,LEARY,06,1994,,2019-04-09 12:18:42.002-04,2019-04-09 12:18:42.002-04
82330,50. Capacious,LARGE,03,1988,,2019-04-09 12:15:16.306-04,2019-04-09 12:15:16.306-04
5000,"22. ""The defense ___""",RESTS,12,1978,,2019-04-09 12:12:45.277-04,2019-04-09 12:12:45.277-04
85602,15. Ancient Greek theater,ODEON,04,1993,,2019-04-09 12:15:21.574-04,2019-04-09 12:15:21.574-04
179671,63. Tea carrier,WAGON,04,1983,,2019-04-09 12:18:20.984-04,2019-04-09 12:18:20.984-04
174916,72. Smells like an old stogie,REEKS,10,1977,,2019-04-09 12:18:12.54-04,2019-04-09 12:18:12.54-04
189165,8. Importunes,URGES,09,1977,,2019-04-09 12:18:37.922-04,2019-04-09 12:18:37.922-04
130824,10. Peck's preacting job,USHER,05,1981,,2019-04-09 12:16:39.988-04,2019-04-09 12:16:39.988-04
156851,58. Idaho's capital,BOISE,03,1991,,2019-04-09 12:17:32.958-04,2019-04-09 12:17:32.958-04
74864,30. Egresses,EXITS,01,1981,,2019-04-09 12:15:03.618-04,2019-04-09 12:15:03.618-04
69625,40. Colonel in the news,NORTH,09,1987,,2019-04-09 12:14:53.253-04,2019-04-09 12:14:53.253-04
215823,98. Southwest lariat,RIATA,11,1978,,2019-04-09 12:19:23.65-04,2019-04-09 12:19:23.65-04
23917,56. Concerning,ABOUT,05,1989,,2019-04-09 12:13:25.711-04,2019-04-09 12:13:25.711-04
176092,3. Rich Little's forte,APING,12,1977,,2019-04-09 12:18:14.786-04,2019-04-09 12:18:14.786-04
88228,55. Inventor of dynamite,NOBEL,01,1979,,2019-04-09 12:15:25.882-04,2019-04-09 12:15:25.882-04
26010,59. Gigantic creature,TITAN,09,1977,,2019-04-09 12:13:29.026-04,2019-04-09 12:13:29.026-04
105055,51. Turn inside out,EVERT,09,1983,,2019-04-09 12:15:55.271-04,2019-04-09 12:15:55.271-04
150783,5. Grain husks,CHAFF,09,1990,,2019-04-09 12:17:21.019-04,2019-04-09 12:17:21.019-04
148469,"54. These, in Madrid",ESTAS,03,1997,,2019-04-09 12:17:16.485-04,2019-04-09 12:17:16.485-04
182541,69. Hospital supply,SERUM,05,1994,,2019-04-09 12:18:27.118-04,2019-04-09 12:18:27.118-04
78653,40. Like shoes,SOLED,03,1996,,2019-04-09 12:15:10.168-04,2019-04-09 12:15:10.168-04
151566,27. Defeats,BESTS,12,1988,,2019-04-09 12:17:22.424-04,2019-04-09 12:17:22.424-04
220826,76. Ward off,AVERT,02,1990,,2019-04-09 12:19:32.457-04,2019-04-09 12:19:32.457-04
209748,"60. ""Get _____ of this!""",ALOAD,10,1994,,2019-04-09 12:19:12.642-04,2019-04-09 12:19:12.642-04
114164,43. Recorded,TAPED,07,1992,,2019-04-09 12:16:11.019-04,2019-04-09 12:16:11.019-04
203054,48. Hug,CLASP,04,1978,,2019-04-09 12:19:01.691-04,2019-04-09 12:19:01.691-04
48969,62. Produce,STAGE,02,1983,,2019-04-09 12:14:10.957-04,2019-04-09 12:14:10.957-04
52781,20. The very bottom,NADIR,01,1989,,2019-04-09 12:14:16.918-04,2019-04-09 12:14:16.918-04
7781,57. Courage,HEART,08,1976,,2019-04-09 12:12:52.28-04,2019-04-09 12:12:52.28-04
120816,22. Roman handles,ANSAE,03,1988,,2019-04-09 12:16:23.108-04,2019-04-09 12:16:23.108-04
155578,49. Deer herders,LAPPS,01,1997,,2019-04-09 12:17:30.345-04,2019-04-09 12:17:30.345-04
145944,26. Good will,AMITY,08,1981,,2019-04-09 12:17:09.346-04,2019-04-09 12:17:09.346-04
114176,58. Jibe,AGREE,07,1979,,2019-04-09 12:16:11.043-04,2019-04-09 12:16:11.043-04
150094,34. Asp's cousin,KRAIT,09,1988,,2019-04-09 12:17:19.642-04,2019-04-09 12:17:19.642-04
190397,21. Sinuses,ANTRA,11,1983,,2019-04-09 12:18:39.979-04,2019-04-09 12:18:39.979-04
178022,97. Shea areas,TIERS,12,1990,,2019-04-09 12:18:17.668-04,2019-04-09 12:18:17.668-04
14017,1. Cicero's waters,AQUAE,12,1978,,2019-04-09 12:13:06.597-04,2019-04-09 12:13:06.597-04
15047,"31. ""___ Right of Way""",YIELD,03,1976,,2019-04-09 12:13:09.032-04,2019-04-09 12:13:09.032-04
166712,113. Minh headquarters,HANOI,07,1982,,2019-04-09 12:17:54.683-04,2019-04-09 12:17:54.683-04
93096,41. A Yugoslav,CROAT,08,1987,,2019-04-09 12:15:34.16-04,2019-04-09 12:15:34.16-04
164188,54. Twofold,DUPLE,06,1984,,2019-04-09 12:17:49.817-04,2019-04-09 12:17:49.817-04
172195,"79. Loosen, in a way",UNPIN,03,1981,,2019-04-09 12:18:06.304-04,2019-04-09 12:18:06.304-04
24506,17. Sierra ___,LEONE,12,1988,,2019-04-09 12:13:26.622-04,2019-04-09 12:13:26.622-04
80223,15. Symbol of perfection,IDEAL,12,1986,,2019-04-09 12:15:12.811-04,2019-04-09 12:15:12.811-04
89139,"50. ""King Olaf"" composer",ELGAR,08,1993,,2019-04-09 12:15:27.339-04,2019-04-09 12:15:27.339-04
68920,35. Performs alone,SOLOS,02,1978,,2019-04-09 12:14:51.66-04,2019-04-09 12:14:51.66-04
128777,32. Composer Manuel de ___,FALLA,02,1978,,2019-04-09 12:16:36.638-04,2019-04-09 12:16:36.638-04
176371,75. Swat again,REHIT,12,1976,,2019-04-09 12:18:15.216-04,2019-04-09 12:18:15.216-04
116956,65. ___ acids,AMINO,04,1988,,2019-04-09 12:16:16.118-04,2019-04-09 12:16:16.118-04
129606,28. Cathedral passage,SLYPE,09,1976,,2019-04-09 12:16:37.893-04,2019-04-09 12:16:37.893-04
218248,150. Macaw,ARARA,06,1984,,2019-04-09 12:19:28.244-04,2019-04-09 12:19:28.244-04
67529,"59. Owls, in Germany",EULEN,07,1976,,2019-04-09 12:14:48.632-04,2019-04-09 12:14:48.632-04
123242,30. Lock,TRESS,11,1986,,2019-04-09 12:16:27.033-04,2019-04-09 12:16:27.033-04
28887,33. Grain disease,ERGOT,11,1985,,2019-04-09 12:13:36.589-04,2019-04-09 12:13:36.589-04
13197,54. Girl of a Beatles title,JULIA,04,1996,,2019-04-09 12:13:04.911-04,2019-04-09 12:13:04.911-04
202371,99. Crystal-lined stone,GEODE,02,1983,,2019-04-09 12:19:00.582-04,2019-04-09 12:19:00.582-04
29236,5. Canine complaint,WHINE,03,1978,,2019-04-09 12:13:37.1-04,2019-04-09 12:13:37.1-04
79868,61. Danton's colleague,MARAT,04,1979,,2019-04-09 12:15:12.231-04,2019-04-09 12:15:12.231-04
50600,54. Salutes,HAILS,07,1978,,2019-04-09 12:14:13.536-04,2019-04-09 12:14:13.536-04
112191,70. ___ deux (dance for two),PASDE,02,1989,,2019-04-09 12:16:07.669-04,2019-04-09 12:16:07.669-04
32015,69. Through,ENDED,12,1980,,2019-04-09 12:13:42.053-04,2019-04-09 12:13:42.053-04
63377,41. Suffix with rend or vend,ITION,01,1988,,2019-04-09 12:14:39.452-04,2019-04-09 12:14:39.452-04
71447,62. Sublease,RELET,11,1987,,2019-04-09 12:14:57.212-04,2019-04-09 12:14:57.212-04
16861,"31. ""Romola"" character",TESSA,03,1988,,2019-04-09 12:13:12.835-04,2019-04-09 12:13:12.835-04
150669,24. Senegalese port,DAKAR,12,1984,,2019-04-09 12:17:20.772-04,2019-04-09 12:17:20.772-04
201571,"73. Caroline, to Ted",NIECE,04,1981,,2019-04-09 12:18:59.197-04,2019-04-09 12:18:59.197-04
213828,137. Forward,FRESH,01,1977,,2019-04-09 12:19:19.955-04,2019-04-09 12:19:19.955-04
153414,11. Driver's maneuver,UTURN,08,1987,,2019-04-09 12:17:25.975-04,2019-04-09 12:17:25.975-04
92652,43. Dye again,REDIP,03,1978,,2019-04-09 12:15:33.408-04,2019-04-09 12:15:33.408-04
208002,69. Minneapolis suburb,EDINA,08,1984,,2019-04-09 12:19:09.429-04,2019-04-09 12:19:09.429-04
71570,6. Moslem mendicant,FAQIR,07,1985,,2019-04-09 12:14:57.446-04,2019-04-09 12:14:57.446-04
85304,18. See 45 Down,STATE,12,1976,,2019-04-09 12:15:21.098-04,2019-04-09 12:15:21.098-04
182354,84. City in Ohio,NILES,03,1980,,2019-04-09 12:18:26.76-04,2019-04-09 12:18:26.76-04
86569,49. Traffic jam,TIEUP,08,1987,,2019-04-09 12:15:23.066-04,2019-04-09 12:15:23.066-04
149272,69. Hood's missile,ARROW,12,1985,,2019-04-09 12:17:18.009-04,2019-04-09 12:17:18.009-04
198411,6. Feel one's way,GROPE,06,1990,,2019-04-09 12:18:53.864-04,2019-04-09 12:18:53.864-04
158339,56. One of the media,RADIO,02,1978,,2019-04-09 12:17:35.736-04,2019-04-09 12:17:35.736-04
91697,24. Irregular,EROSE,04,1980,,2019-04-09 12:15:31.828-04,2019-04-09 12:15:31.828-04
129261,"49. She wrote ""A Certain Smile""",SAGAN,07,1978,,2019-04-09 12:16:37.359-04,2019-04-09 12:16:37.359-04
137297,50. Exclude,DEBAR,01,1979,,2019-04-09 12:16:51.447-04,2019-04-09 12:16:51.447-04
159685,2. Where a sacerdos presides,ALTAR,10,1981,,2019-04-09 12:17:39.298-04,2019-04-09 12:17:39.298-04
170796,32. Antipasto morsel,OLIVE,05,1991,,2019-04-09 12:18:02.462-04,2019-04-09 12:18:02.462-04
612,1. One who pitches,ADMAN,06,1994,,2019-04-09 12:12:29.644-04,2019-04-09 12:12:29.644-04
77613,50. Pitchers,EWERS,07,1991,,2019-04-09 12:15:08.447-04,2019-04-09 12:15:08.447-04
11800,41. Scoff,SNEER,11,1983,,2019-04-09 12:13:01.889-04,2019-04-09 12:13:01.889-04
89573,"21. Thai, e.g.",ASIAN,01,1979,,2019-04-09 12:15:28.079-04,2019-04-09 12:15:28.079-04
168232,66. Pigment for Constable,OCHRE,06,1993,,2019-04-09 12:17:57.376-04,2019-04-09 12:17:57.376-04
217553,124. Stupefies,DRUGS,05,1976,,2019-04-09 12:19:27.045-04,2019-04-09 12:19:27.045-04
112381,52. Eyelashes,CILIA,12,1989,,2019-04-09 12:16:08.007-04,2019-04-09 12:16:08.007-04
17827,48. Layer of skin,DERMA,02,1978,,2019-04-09 12:13:14.485-04,2019-04-09 12:13:14.485-04
70177,24. Temporary halt,PAUSE,12,1980,,2019-04-09 12:14:54.432-04,2019-04-09 12:14:54.432-04
16027,7. Strict precision,RIGOR,04,1987,,2019-04-09 12:13:11.099-04,2019-04-09 12:13:11.099-04
24474,36. French school,ECOLE,04,1987,,2019-04-09 12:13:26.574-04,2019-04-09 12:13:26.574-04
5083,15. Middle Easterner,OMANI,07,1979,,2019-04-09 12:12:45.518-04,2019-04-09 12:12:45.518-04
80311,23. National hero of Hungary,ARPAD,08,1982,,2019-04-09 12:15:12.955-04,2019-04-09 12:15:12.955-04
180882,118. Bender,SPREE,02,1989,,2019-04-09 12:18:23.132-04,2019-04-09 12:18:23.132-04
27515,48. Excelled,SHONE,09,1982,,2019-04-09 12:13:33.751-04,2019-04-09 12:13:33.751-04
171703,"28. Alan, Cheryl and Diane",LADDS,11,1990,,2019-04-09 12:18:04.928-04,2019-04-09 12:18:04.928-04
57903,15. Likeness,IMAGE,05,1981,,2019-04-09 12:14:26.492-04,2019-04-09 12:14:26.492-04
